"countyFIPS5","life_exp_2020"
"19000","78.743464656"
"19001","78.168986849"
"19003","79.746653494"
"19005","77.640865346"
"19007","76.867941513"
"19009","77.687530304"
"19011","79.437808875"
"19013","77.625790858"
"19015","78.782833453"
"19017","80.763766122"
"19019","79.696208485"
"19021","80.460355818"
"19023","78.140867073"
"19025","78.529963276"
"19027","79.676980011"
"19029","75.575952734"
"19031","81.218185176"
"19033","77.572817444"
"19035","78.206465022"
"19037","78.47709862"
"19039","76.034740205"
"19041","79.261544727"
"19043","80.379065907"
"19045","77.363428565"
"19047","79.36232405"
"19049","81.756679258"
"19051","78.05521069"
"19053","77.909668704"
"19055","79.387665744"
"19057","77.55372816"
"19059","80.663348583"
"19061","80.069723428"
"19063","76.717536495"
"19065","77.817223378"
"19067","78.863064655"
"19069","78.446958262"
"19071","77.64630401"
"19073","79.635262167"
"19075","78.970957429"
"19077","80.355274523"
"19079","77.6405424"
"19081","81.808662051"
"19083","79.104274824"
"19085","75.766756906"
"19087","78.694902517"
"19089","78.848885385"
"19091","80.02583503"
"19093","76.18595784"
"19095","78.546102507"
"19097","78.590134858"
"19099","79.109663791"
"19101","79.874996119"
"19103","82.600199037"
"19105","81.333707337"
"19107","79.390075643"
"19109","79.885180125"
"19111","75.881796054"
"19113","79.597887986"
"19115","78.292059227"
"19117","77.428657773"
"19119","81.279915263"
"19121","79.307246285"
"19123","78.236364646"
"19125","78.880540499"
"19127","76.485051663"
"19129","78.552298721"
"19131","80.385692987"
"19133","75.264426835"
"19135","76.868113356"
"19137","74.885231473"
"19139","77.65634796"
"19141","76.858771813"
"19143","78.703353603"
"19145","78.629565238"
"19147","76.99284864"
"19149","79.49945011"
"19151","77.405399246"
"19153","78.410782591"
"19155","76.858642291"
"19157","79.177685175"
"19159","77.016385692"
"19161","78.952919949"
"19163","78.57204883"
"19165","79.449615937"
"19167","83.347762332"
"19169","82.122752012"
"19171","76.519162978"
"19173","78.222933361"
"19175","76.131112989"
"19177","76.820094732"
"19179","75.482946945"
"19181","79.041097485"
"19183","78.827937165"
"19185","77.466695468"
"19187","76.363569641"
"19189","79.03284211"
"19191","83.471085149"
"19193","76.26518697"
"19195","80.104585424"
"19197","78.825301711"
